"","x"
"1",6.50955135773318
"2",-1.87044864226682
"3",-1.83044864226682
"4",-5.98044864226682
"5",-2.25044864226682
"6",-4.35044864226682
"7",-4.40044864226682
"8",-4.74044864226682
"9",-2.35044864226682
"10",-1.81044864226682
"11",-2.15044864226682
"12",-2.18044864226682
"13",-6.14044864226682
"14",-2.82044864226682
"15",-5.98044864226682
"16",-2.45044864226682
"17",-2.96044864226682
"18",-0.340448642266823
"19",-0.430448642266823
"20",-2.11044864226682
"21",-2.27044864226682
"22",-4.77044864226682
"23",-3.64044864226682
"24",-2.67044864226682
"25",-4.82044864226682
"26",-3.84044864226682
"27",-2.88044864226682
"28",-1.56044864226682
"29",-4.60044864226682
"30",0.569551357733177
"31",-2.12044864226682
"32",-4.30044864226682
"33",-2.19044864226682
"34",-7.11044864226682
"35",1.24955135773318
"36",-5.58044864226682
"37",-5.66044864226682
"38",-2.91044864226682
"39",1.59955135773318
"40",-6.80044864226682
"41",-0.530448642266823
"42",0.579551357733177
"43",-6.69044864226682
"44",-6.73044864226682
"45",-7.57044864226682
"46",-6.86044864226682
"47",-5.86044864226682
"48",-5.84044864226682
"49",-5.96044864226682
"50",-6.09044864226682
"51",-6.30044864226682
"52",-5.80044864226682
"53",-6.68044864226682
"54",-5.04044864226682
"55",-5.70044864226682
"56",-5.49044864226682
"57",-5.60044864226682
"58",-6.70044864226682
"59",-4.28044864226682
"60",-6.40044864226682
"61",-6.35044864226682
"62",-6.75044864226682
"63",-5.50044864226682
"64",-6.97044864226682
"65",-6.53044864226682
"66",-6.82044864226682
"67",-5.89044864226682
"68",-6.01044864226682
"69",-6.27044864226682
"70",-6.74044864226682
"71",-6.32044864226682
"72",-0.990448642266823
"73",-3.20044864226682
"74",-5.66044864226682
"75",-3.79044864226682
"76",0.939551357733176
"77",-6.26044864226682
"78",-1.86044864226682
"79",-6.93044864226682
"80",-1.53044864226682
"81",-6.46044864226682
"82",-6.36044864226682
"83",-6.22044864226682
"84",-2.45044864226682
"85",-6.34044864226682
"86",-7.15044864226682
"87",-5.87044864226682
"88",-1.85044864226682
"89",-1.93044864226682
"90",-6.87044864226682
"91",0.859551357733176
"92",-5.85044864226682
"93",-4.48044864226682
"94",-5.48044864226682
"95",-5.92044864226682
"96",-5.72044864226682
"97",-5.37044864226682
"98",-5.11044864226682
"99",-6.00044864226682
"100",-5.72044864226682
"101",-4.18044864226682
"102",1.86955135773318
"103",-7.31044864226682
"104",-1.50044864226682
"105",-6.23044864226682
"106",-5.93044864226682
"107",-6.95044864226682
"108",-5.52044864226682
"109",-6.07044864226682
"110",-6.80044864226682
"111",-6.75044864226682
"112",-0.850448642266823
"113",-0.850448642266823
"114",-5.66044864226682
"115",-1.45044864226682
"116",-1.39044864226682
"117",-1.71044864226682
"118",-2.21044864226682
"119",-1.96044864226682
"120",-5.96044864226682
"121",-5.94044864226682
"122",-2.31044864226682
"123",-2.35044864226682
"124",-5.76044864226682
"125",-6.19044864226682
"126",-7.27044864226682
"127",-3.16044864226682
"128",-5.70044864226682
"129",-5.91044864226682
"130",-5.84044864226682
"131",-5.55044864226682
"132",1.77955135773318
"133",-4.68044864226682
"134",-5.57044864226682
"135",-3.52044864226682
"136",-6.61044864226682
"137",-4.88044864226682
"138",-4.44044864226682
"139",-5.49044864226682
"140",-2.27044864226682
"141",-5.90044864226682
"142",-4.51044864226682
"143",-7.00044864226682
"144",-4.98044864226682
"145",-3.29044864226682
"146",-3.04044864226682
"147",-5.37044864226682
"148",-5.35044864226682
"149",-5.36044864226682
"150",-5.50044864226682
"151",-5.43044864226682
"152",-5.52044864226682
"153",-6.63044864226682
"154",-7.27044864226682
"155",-3.29044864226682
"156",-6.17044864226682
"157",-6.19044864226682
"158",-5.99044864226682
"159",-6.20044864226682
"160",-6.95044864226682
"161",-6.88044864226682
"162",-6.49044864226682
"163",-4.50044864226682
"164",-1.17044864226682
"165",-6.87044864226682
"166",-0.140448642266824
"167",-4.54044864226682
"168",-4.29044864226682
"169",-6.89044864226682
"170",-4.20044864226682
"171",-0.660448642266823
"172",-1.42044864226682
"173",-6.06044864226682
"174",-6.63044864226682
"175",0.0095513577331765
"176",1.14955135773318
"177",0.919551357733177
"178",-7.15044864226682
"179",0.629551357733176
"180",-3.85044864226682
"181",1.31955135773318
"182",1.90955135773318
"183",-0.790448642266824
"184",-1.10044864226682
"185",-0.670448642266823
"186",1.41955135773318
"187",-5.67044864226682
"188",-3.70044864226682
"189",1.26955135773318
"190",-5.54044864226682
"191",2.17955135773318
"192",-3.28044864226682
"193",-6.55044864226682
"194",2.81955135773318
"195",-5.65044864226682
"196",-4.64044864226682
"197",-5.04044864226682
"198",-3.40044864226682
"199",-2.78044864226682
"200",-0.480448642266824
"201",-3.99044864226682
"202",-4.92044864226682
"203",0.0895513577331766
"204",-2.09044864226682
"205",0.449551357733176
"206",-6.39044864226682
"207",-5.33044864226682
"208",-2.44044864226682
"209",-3.68044864226682
"210",-3.59044864226682
"211",0.779551357733176
"212",-4.49044864226682
"213",2.31955135773318
"214",0.469551357733177
"215",-2.77044864226682
"216",-2.22044864226682
"217",0.409551357733177
"218",-2.56044864226682
"219",-0.930448642266823
"220",-1.80044864226682
"221",0.069551357733177
"222",-4.46044864226682
"223",-2.44044864226682
"224",-5.70044864226682
"225",-1.54044864226682
"226",-4.95044864226682
"227",-1.29044864226682
"228",-1.71044864226682
"229",-1.43044864226682
"230",-1.82044864226682
"231",1.45955135773318
"232",-0.160448642266823
"233",-2.20044864226682
"234",-3.13044864226682
"235",-4.39044864226682
"236",-0.600448642266823
"237",-3.77044864226682
