"","x"
"1",6.6895867768595
"2",-2.02041322314049
"3",-1.82041322314049
"4",-6.10041322314049
"5",-2.28041322314049
"6",-4.1604132231405
"7",-4.24041322314049
"8",-4.7204132231405
"9",-2.29041322314049
"10",-2.2804132231405
"11",-2.1304132231405
"12",-1.8804132231405
"13",-6.1104132231405
"14",-2.7104132231405
"15",-5.8104132231405
"16",-2.28041322314049
"17",-2.74041322314049
"18",-0.450413223140496
"19",-0.510413223140494
"20",-2.0004132231405
"21",-1.96041322314049
"22",-4.6304132231405
"23",-3.4704132231405
"24",-2.6404132231405
"25",-4.44041322314049
"26",-3.44041322314049
"27",-2.79041322314049
"28",-1.7804132231405
"29",-4.63041322314049
"30",0.549586776859504
"31",-2.2604132231405
"32",-4.4104132231405
"33",-2.05041322314049
"34",-7.0604132231405
"35",1.1395867768595
"36",-5.6204132231405
"37",-5.5404132231405
"38",-3.1104132231405
"39",1.17958677685951
"40",-6.9304132231405
"41",-0.680413223140494
"42",0.639586776859506
"43",-6.7104132231405
"44",-6.73041322314049
"45",-7.49041322314049
"46",-6.7304132231405
"47",-5.8204132231405
"48",-5.8804132231405
"49",-5.7804132231405
"50",-6.07041322314049
"51",-6.5004132231405
"52",-5.74041322314049
"53",-6.60041322314049
"54",-5.1804132231405
"55",-5.64041322314049
"56",-5.6304132231405
"57",-5.5504132231405
"58",-6.5104132231405
"59",-4.4004132231405
"60",-6.4404132231405
"61",-6.01041322314049
"62",-6.8004132231405
"63",-5.48041322314049
"64",-6.8704132231405
"65",-6.4004132231405
"66",-6.8704132231405
"67",-5.8204132231405
"68",-6.0504132231405
"69",-6.37041322314049
"70",-6.6704132231405
"71",-6.2104132231405
"72",-1.1904132231405
"73",-3.2204132231405
"74",-5.7804132231405
"75",-3.8104132231405
"76",0.739586776859504
"77",-6.40041322314049
"78",-2.07041322314049
"79",-6.8804132231405
"80",-1.5504132231405
"81",-6.2604132231405
"82",-6.1604132231405
"83",-6.0104132231405
"84",-2.39041322314049
"85",-6.25041322314049
"86",-6.93041322314049
"87",-5.87041322314049
"88",-1.6204132231405
"89",-2.0804132231405
"90",-6.6604132231405
"91",0.699586776859505
"92",-5.8904132231405
"93",-4.0904132231405
"94",-5.4104132231405
"95",-5.60041322314049
"96",-5.6904132231405
"97",-5.38041322314049
"98",-4.46041322314049
"99",-5.49041322314049
"100",-5.6004132231405
"101",-3.77041322314049
"102",1.92958677685951
"103",-6.7104132231405
"104",-1.32041322314049
"105",-6.1404132231405
"106",-5.65041322314049
"107",-7.05041322314049
"108",-5.2904132231405
"109",-5.8704132231405
"110",-6.65041322314049
"111",-6.51041322314049
"112",-0.700413223140494
"113",-0.860413223140494
"114",-5.66041322314049
"115",-1.9904132231405
"116",-1.4104132231405
"117",-1.97041322314049
"118",-2.0804132231405
"119",-1.6804132231405
"120",-5.7604132231405
"121",-6.02041322314049
"122",-2.5604132231405
"123",-2.3204132231405
"124",-5.7804132231405
"125",-5.9004132231405
"126",-7.0904132231405
"127",-2.98041322314049
"128",-5.7204132231405
"129",-5.9504132231405
"130",-5.8804132231405
"131",-5.6404132231405
"132",1.6595867768595
"133",-4.7204132231405
"134",-5.4504132231405
"135",-3.5904132231405
"136",-6.62041322314049
"137",-4.7604132231405
"138",-4.2604132231405
"139",-5.40041322314049
"140",-2.1804132231405
"141",-5.8704132231405
"142",-4.07041322314049
"143",-6.85041322314049
"144",-4.8904132231405
"145",-3.30041322314049
"146",-2.9904132231405
"147",-5.20041322314049
"148",-5.20041322314049
"149",-5.37041322314049
"150",-5.34041322314049
"151",-5.34041322314049
"152",-5.44041322314049
"153",-6.6304132231405
"154",-7.1404132231405
"155",-3.3104132231405
"156",-6.2904132231405
"157",-6.3204132231405
"158",-6.00041322314049
"159",-6.14041322314049
"160",-6.80041322314049
"161",-6.9304132231405
"162",-6.5504132231405
"163",-4.4604132231405
"164",-1.01041322314049
"165",-6.6704132231405
"166",-0.230413223140495
"167",-4.44041322314049
"168",-4.13041322314049
"169",-6.7704132231405
"170",-4.2204132231405
"171",-0.660413223140495
"172",-1.3904132231405
"173",-5.84041322314049
"174",-6.5804132231405
"175",0.219586776859504
"176",1.14958677685951
"177",1.0395867768595
"178",-6.6104132231405
"179",1.5295867768595
"180",-4.2304132231405
"181",1.51958677685951
"182",1.41958677685951
"183",-0.960413223140495
"184",-1.6404132231405
"185",-1.1404132231405
"186",1.3895867768595
"187",-5.0404132231405
"188",-3.89041322314049
"189",1.1395867768595
"190",-5.9904132231405
"191",1.76958677685951
"192",-3.6704132231405
"193",-7.1804132231405
"194",2.9395867768595
"195",-5.74041322314049
"196",-4.98041322314049
"197",-3.96041322314049
"198",-4.00041322314049
"199",-3.0704132231405
"200",-1.1004132231405
"201",-4.08041322314049
"202",-4.85041322314049
"203",-0.490413223140495
"204",-2.28041322314049
"205",0.559586776859504
"206",-6.1804132231405
"207",-5.3904132231405
"208",-2.6004132231405
"209",-3.87041322314049
"210",-3.0604132231405
"211",0.459586776859505
"212",-4.33041322314049
"213",2.41958677685951
"214",0.189586776859505
"215",-3.30041322314049
"216",-2.3604132231405
"217",0.309586776859506
"218",-2.7104132231405
"219",-1.19041322314049
"220",-2.29041322314049
"221",-0.0704132231404948
"222",-4.03041322314049
"223",-2.1704132231405
"224",-5.5804132231405
"225",-1.7404132231405
"226",-5.28041322314049
"227",-1.21041322314049
"228",-2.06041322314049
"229",-1.44041322314049
"230",-0.890413223140495
"231",0.849586776859503
"232",-0.170413223140494
"233",-2.5904132231405
"234",-3.20041322314049
"235",-4.2504132231405
"236",-0.110413223140494
"237",-4.4104132231405
"238",-1.02041322314049
"239",2.0295867768595
